SMILES,alpha,beta,delta,gamma
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCc4ccccc4)nn3c2)c1,0,0,0,1
COc1ccc(-c2c(C)nn3c(NCCNC(C)=O)cc(C)nc23)cc1OC,0,0,0,0
CC(Nc1cccc(Cl)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,1,1,1,1
Cn1c(Cc2nc3cc(F)ccc3[nH]2)nc(N2CCOCC2)cc1=O,0,1,0,0
C[C@H](Nc1ncnc(N)c1C#Cc1cc(CO)ccn1)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)c3ccccc3cc12,0,0,0,0
O=c1cc(N2CCOCC2)nc(Cc2nc3c(-c4cccs4)cccc3o2)[nH]1,0,1,1,0
COc1ncc(-c2cc(O[C@@H]3CCOC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,1,1,1,1
Cc1nc(NC(=O)[C@@H](N)C(C)C)sc1-c1cnc(Cl)c(NS(=O)(=O)c2ccc(C(F)(F)F)cc2)c1,1,1,1,1
CC(C)n1nc(-c2ccc3ccccc3c2)c2c(N)ncnc21,0,0,0,0
CC(C)n1nc(-c2cc(F)c(O)cc2F)c2c(N)ncnc21,1,0,1,1
CC(=O)N(C)[C@@H]1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1,1,1,1,1
COCC(=O)NC1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)CC1,1,1,1,1
CC(C)n1nc(-c2ccc3nccnc3c2)c2c(N)ncnc21,1,1,1,1
CC(O)C#Cc1c(N)ncnc1N[C@@H](C)c1nc2cccc(Cl)c2c(=O)n1-c1cc(F)cc(F)c1,1,1,1,1
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN3CCN(C(C)C)CC3)cc2)c1,0,0,0,0
CC(C)n1nc(-c2ccc3cc(O)ccc3c2)c2c(N)ncnc21,0,0,1,1
CC(=O)Nc1cc(Nc2ccccc2)cc(-c2ccnc(NC(=O)C3CCOCC3)c2)c1,0,0,0,0
CC(=O)Nc1nc(C)c(-c2ccc(-n3cccn3)cc2)s1,1,1,1,1
