SMILES,alpha,beta,delta,gamma
N#CCc1ccc(Nc2ncnc3ccc(-c4ccc5c(c4)OCCO5)cc23)cc1,1,0,0,0
CC1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,1,1,1,0
CC(C)=CC(=O)CCC(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,1,1,0,1
CC(=O)NS(=O)(=O)[C@H]1C2CCC(CC2)[C@@H]1Nc1nc(-c2c[nH]c3ncc(F)cc23)ncc1F,0,0,0,0
CCC(=O)N1CC[C@H](Oc2cnnc3ccc(-c4ccc(OC)nc4)cc23)C1,0,0,0,0
O=c1oc2ccccc2c2nn(CN3CCN(S(=O)(=O)c4ccc(C(F)(F)F)cc4)CC3)cc12,0,0,0,0
C[C@H](Nc1ncnc(N)c1C#Cc1ccc(F)cn1)c1nc2c(F)ccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
O=c1cc(N2CCOCC2)nc(Cc2nc3ccccc3[nH]2)[nH]1,0,1,0,0
CCOc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN3C[C@@H](C)O[C@@H](C)C3)cc2F)c1,0,0,0,0
CC1(C)CC(=O)c2sc(N3CCOCC3Cc3cccc4ccccc34)nc2C1,1,0,1,1
COc1ccc(-c2c(C)nc3c(NCCN4CCOCC4)ccnn23)cc1OC,0,0,0,0
COc1ccc(-c2nn([C@@H]3CCNC3)c3ncnc(N)c23)cc1O,0,0,1,0
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2c(-c3ccncc3)cccc21,1,1,1,1
CCc1nn2c(O)cc(-c3ccncc3)nc2c1Cc1cccc(Cl)c1Cl,1,0,1,1
O=c1cc(N2CCOC(CO)C2)nc2n(Cc3cccc(Cl)c3Cl)ccn12,1,1,1,0
COc1ccc(-c2cc(O[C@@H]3CCN(C(=O)C4CC4)C3)cc3c2CNC3=O)cn1,0,0,1,0
Oc1cccc(-c2nc(N3CCOCC3)c3sc(CN4CCC(n5cnnc5C(F)(F)F)CC4)cc3n2)c1,1,1,1,1
O=c1oc2ccccc2c2nn(CN3CCN(S(=O)(=O)c4cccc([N+](=O)[O-])c4)CC3)cc12,0,0,0,0
COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,1,1,1,0
COCCN(C)C(=O)c1cc(C(C)Nc2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1,0,1,1,0
O=c1cc(-c2ccc3nc(NCC4CCS(=O)(=O)CC4)sc3c2)ccn1CC1CC1,0,0,0,0
NC(=O)[C@H]1CCCN1C(=O)c1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)nc(N4CCOCC4)n3)cc2)cc1,1,1,1,1
C[C@H](Nc1ncnc(N)c1C#CC(C)(C)O)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
Cc1nc(NC(=O)N2C[C@H](O)C[C@H]2C(N)=O)sc1-c1csc(C(C)(C)C)n1,1,0,0,0
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1ccccc1,0,1,1,0
C[C@@H]1COCCN1c1nc(N2CCOC[C@@H]2C)nc2sc(-c3cc[nH]n3)nc12,0,0,0,0
Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC(C)(C)c2ccc(-c3ccncc3)cc21,0,1,1,0
CC(C)n1ncnc1-c1nc2c(s1)CCOc1cc(-c3cn[nH]c3)ccc1-2,1,1,1,1
Nc1nc2cc(-c3cn(C4CCOCC4)c4ncnc(N)c34)ccc2o1,0,0,1,1
Cc1nc(NC(=O)[C@@H](N)C(C)C)sc1-c1cnc(Cl)c(NS(=O)(=O)c2c(F)cccc2F)c1,1,1,1,1
O=S(=O)(Nc1cc(-c2ccc3nccc(-c4cccnc4)c3c2)cnc1Cl)c1ccc(F)cc1,1,1,1,1
Cc1nc(N)nc(-n2c(Nc3ccc4cc[nH]c4c3)nc3ccccc32)n1,1,1,1,1
C[C@H]1CN(c2cc(N(CCO)Cc3cccc4ccccc34)[nH]c(=O)n2)CCO1,0,1,1,0
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,0,0,0,0
C[C@H](Nc1ncnc(N)c1C#Cc1cnccn1)c1nc2cccc(Cl)c2c(=O)n1N1CCCCCC1,1,1,1,1
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,0,0,0,0
CCOc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1OC,1,1,1,1
O=C(O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2ccccc21,0,1,0,0
CC[C@H](Nc1nc(N)nc(C)c1C#N)c1nc2cccc(NCCCCC(=O)NO)c2c(=O)n1-c1ccccc1,1,1,1,1
COCc1cnc(Nc2ccc(OC)nc2)c(-c2nc(C)nc(N)n2)c1,1,1,1,1
COc1ccc(N(C)c2ncccc2-c2nc(C)nc(N)n2)cn1,0,0,0,0
C[C@@H](NC(=O)C1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1)C(N)=O,1,1,1,1
Cc1c(CN2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3F)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,1,1,1,1
COc1ncc(N2CCc3ncnc(N[C@H]4CCN(C(=O)C5CCOCC5)C4)c3C2)cc1C(F)(F)F,1,0,1,0
N[C@H]1CC[C@@H](C(=O)N2CCN(c3nc(N4CCOCC4)nc(-n4c(C(F)F)nc5ccccc54)n3)CC2)CC1,0,0,1,0
C[C@@H]1COCCN1c1nc(-c2cnc(N)cc2C(F)F)nc(N2CCOCC2(C)C)n1,1,0,0,1
CC[C@H](Nc1ncnc2[nH]ccc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,0,1,1,0
C[C@H](Nc1ncnc(N)c1C#Cc1cccc(CO)c1)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
Nc1nc2cc(-c3cncc(S(=O)(=O)NCC(F)(F)F)c3)ccn2n1,0,0,0,1
CS(=O)(=O)Nc1cc(-c2ccc3ccncc3c2)cnc1Cl,0,0,1,1
CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,0,0,0,0
O=c1oc2ccccc2c2nn(S(=O)(=O)c3ccc(C(F)(F)F)cc3)cc12,0,0,0,0
COc1ccc(Nc2ncc(CN3CCC(S(C)(=O)=O)CC3)cc2-c2nc(C)nc(N)n2)cn1,1,1,1,1
COCCNC(=O)c1nc2c(N3CCOCC3)nc(-c3cnc(N)nc3)cn2c1C,1,1,1,1
COc1cc(-c2cc3c(O[C@H]4CCN(C(=O)C5CCC5)C4)ncnc3s2)cnc1OC,1,0,1,0
CC(C)n1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21,1,1,1,1
CS(=O)(=O)Nc1cc(-c2cnc(N)nc2)cnc1Cl,0,1,1,1
Cc1cccc2nc([C@H](C)Nc3ncnc(N)c3C#Cc3cnccn3)n(-c3cccnc3)c(=O)c12,1,1,1,1
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN3CCN(C(C)(C)C)CC3)cc2)c1,0,0,0,0
Cc1c(CN2CCN(C(=O)[C@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,1,1,1,1
C#CCNc1nc(C)nc(-n2c(Nc3cc[nH]n3)nc3ccccc32)n1,0,0,0,0
NC(=O)c1cccc2cc(C(=O)N3CCN(Cc4cc5nc(-c6cnc(N)nc6)nc(N6CCOCC6)c5o4)CC3)oc12,1,1,1,1
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2CCC1CCCNC1,0,0,1,0
CNC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1,1,0,1,0
COc1ccc(Nc2ncc(CN3CCCC3)cc2-c2nc(C)nc(N)n2)cn1,1,1,1,1
Cc1nnc2n1[C@H]1CCN(Cc3cc4nc(-c5cccc6[nH]ncc56)nc(N5CCOCC5)c4s3)C[C@H]1CC2,0,0,1,0
CC1(C)CC(=O)c2sc(N3CCOc4ccc(-c5cn[nH]c5)cc43)nc2C1,1,1,1,1
Nc1ncnc2c1c(-c1ccc(Br)c(O)c1)nn2C1CCC1,1,1,1,1
O=S(=O)(Nc1cc(-c2ccc3nncc(-c4ccncc4)c3c2)cnc1Cl)c1ccccc1,1,1,1,1
C[C@H](Nc1nc2ccc(-c3ccn(CC4CC4)c(=O)c3)cc2s1)C1CCOCC1,0,0,0,0
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2c(Cl)cccc21,1,1,1,0
CSc1nn2c(=O)cc(-c3ccncc3)nc2n1Cc1cccc(Cl)c1Cl,1,1,1,0
O=c1cc(N2CCOCC2)nc(Cc2nc3c(-c4ccncc4)cccc3o2)[nH]1,0,1,1,0
COc1ncc(-c2ccc3ncnc(-c4cccc(C(=O)N5CCN(C(C)=O)CC5)c4)c3c2)cc1C#N,0,0,1,0
C[C@@H]1CN(Cc2nnc(-c3cc4c(c(-c5cc(O)cc(F)c5)c3)CNC4=O)o2)C[C@H](C)O1,0,0,1,0
COc1ccc(-c2csc3c(=O)cc(N4CCOCC4)oc23)cc1,1,1,1,1
CC(=O)Nc1nc2c(F)cc(-c3cncc(S(C)(=O)=O)c3)cn2n1,0,0,0,1
CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1,1,1,1,1
C[C@@H](Oc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,0,1,1,0
COc1ncc(-c2ccc3ncnc(N[C@H]4CCCN(C(=O)CN(C)C)C4)c3c2)cc1C#N,1,1,1,1
Cc1nc(N2CCOCC2)sc1C(=O)O,0,0,0,0
COc1ccc(-c2ccc3ncnc(O[C@@H]4CCN(C(=O)OC(C)(C)C)C4)c3c2)cc1OC,1,0,1,1
COc1ncc(-c2cc(OC(C)C)cc3c2CNC3=O)cc1NS(C)(=O)=O,1,1,1,1
COc1ccc(-n2c(=O)n(C)c3cnc4ccc(-c5ccncc5)cc4c32)cc1,1,0,0,1
Cc1c(Cl)cccc1Cn1c(CO)nc(=O)c2sc(N3CCOCC3)nc21,1,1,1,1
CC(C)n1nc(-c2cc3cc(O)cc(F)c3[nH]2)c2c(N)ncnc21,1,1,1,1
O=c1ncn(Cc2ccccc2)c2nc(N3CCOCC3)sc12,0,1,0,0
C[C@@H](C1CC1)N1Cc2cc(-c3ccn4nc(N)c(C(=O)N[C@H]5CC[C@@](C)(O)CC5)c4n3)cc(OC(F)(F)F)c2C1=O,0,0,0,1
O=c1cc(N2CCOCC2)nc(Cc2nc3cccc(F)c3o2)[nH]1,0,1,0,0
N#CCc1ccc(Nc2ncnc3ccc(-c4cccc([N+](=O)[O-])c4)cc23)cc1,1,0,0,1
Cc1nc(NC(=O)N2CC[C@@H](C)[C@H]2C(N)=O)sc1-c1csc(C2(C(F)(F)F)CC2)n1,1,0,0,0
CC(=O)Nc1cn2nc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)ccc2n1,1,1,1,1
CNC(=O)c1ccc2c(c1)OCCc1cc(C(=O)N(C)c3ccc(C(=O)N(C)C)cc3Cl)sc1-2,1,1,1,1
CC(=O)Nc1nc(C)c(-c2ccc(S(C)(=O)=O)c(F)c2)s1,1,0,1,1
CC1(C)OCCN(c2cccc(-c3cc(-c4ccnn4CC(F)(F)F)c4c(N)ncnn34)c2)C1=O,0,0,1,1
Nc1ncnc2[nH]nc(-c3cccc(O)c3)c12,0,0,0,0
FC(F)Oc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,1,0,1,1
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,0,0,0,0
C[C@H](Nc1ncnc(N)c1C#Cc1cnccn1)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
Cc1ccc(F)c2nc([C@H](C)Nc3ncnc(N)c3C#Cc3ccc(F)cn3)n(-c3cccc(C#N)c3)c(=O)c12,1,1,1,1
COc1ccccc1-c1ccc2nc(NC(C)=O)nn2c1,0,0,0,0
O=c1oc2ccccc2c2nn(S(=O)(=O)c3ccccc3[N+](=O)[O-])cc12,0,0,0,0
CNC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1,1,0,1,0
CC(C)(C)c1ncc2c(n1)-c1sc(NC(=O)N3CC[C@@H]4C[C@@]43C(N)=O)nc1CC2,1,1,1,1
Cc1c(Cn2ccn3c(=O)cc(N4CCO[C@@H](C)C4)nc23)cccc1C(F)(F)F,0,1,1,0
FC(F)c1nc2ccccc2n1-c1nc(N2CCNCC2)nc(N2CCOCC2)n1,1,0,1,0
CC(C)n1nc(-c2ccc(C=O)c(F)c2)c2c(N)ncnc21,0,0,1,0
C[C@H](NC(=O)C1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1)C(N)=O,1,1,1,1
O=c1ncn(Cc2cccc(Cl)c2Cl)c2nc(N3CCOCC3)sc12,1,1,1,0
O=c1cc(N2CCOCC2)oc2c(-c3cc4ccccc4[nH]3)csc12,1,0,0,1
COc1ccc(-c2ccc3ncnc(O[C@H]4CCN(C(=O)OC(C)(C)C)C4)c3c2)cc1OC,1,0,1,1
CNc1ccc(-c2csc3c(=O)cc(N4CCOCC4)oc23)cc1,1,1,1,1
CC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1,1,0,1,0
Cc1nnc2n1[C@H]1CCN(Cc3cc4nc(-c5cccc6[nH]ccc56)nc(N5CCOCC5)c4s3)C[C@@H]1CC2,0,1,1,1
O=c1cc(N2CCOCC2)oc2c(-c3cccnc3)csc12,1,0,0,0
Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,0,0,0,0
Cn1ccc2cc(-c3nn(C4CCCC4)c4ncnc(N)c34)ccc21,1,0,1,0
CC(Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(C(=O)N2CC(O)C2)c1-c1ccccn1,0,0,1,0
CC(CO)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21,0,0,0,0
Cc1nc(N)nc(-n2c(Nc3ccc4cn[nH]c4c3)nc3ccccc32)n1,1,1,1,1
CC(=O)N1CCN(c2cnc3ccc(-c4cnc(Cl)c(NS(=O)(=O)c5ccc(F)cc5)c4)cc3n2)CC1,1,1,1,1
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(C(=O)N2CCS(=O)(=O)CC2)c1-c1ccccc1,1,1,1,1
CN[C@@H](C)C(=O)N1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1,0,1,1,0
Cn1ncc2c(Oc3ccc(S(C)(=O)=O)cc3)cc(-c3cccc4[nH]ncc34)nc21,1,1,1,1
CC(=O)N1CCN([C@H]2C[C@@H](n3cc(-c4cc(OC[C@@H]5CCCO5)ccc4F)c4c(N)ncnc43)C2)CC1,0,0,0,0
Cc1nc(C#Cc2c(N)ncnc2N[C@@H](C)c2nc3cccc(Cl)c3c(=O)n2-c2ccccc2)ccc1F,1,1,1,1
CCC(CC)c1nc(-c2sc(NC(=O)N3CCC[C@H]3C(N)=O)nc2C)cs1,1,0,0,0
C[C@H](Nc1ncnc(N)c1C#Cc1ccc(OC(F)(F)F)cc1)c1nc2cccc(Cl)c2c(=O)n1-c1cc(F)cc(F)c1,1,1,1,1
COc1ccc(-c2ccc3ncnc(-c4cccc(C(=O)N5CCN(C)CC5)c4)c3c2)cc1OC,1,0,1,1
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCCc4cnccn4)nn3c2)c1,0,1,1,1
N#CCc1ccc(Nc2ncnc3ccc(-c4ccc5[nH]ccc5c4)cc23)cc1,1,0,0,1
CS(=O)(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1,0,0,1,1
CC(=O)c1cccnc1C#Cc1c(N)ncnc1N[C@@H](C)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
O=c1cc(N2CCOCC2)nc(Cc2nc3cc(Cl)ccc3[nH]2)[nH]1,0,1,1,0
COc1cc(NC(=O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)ccc1F,0,1,1,0
Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,1,1,1,1
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2s1,1,1,1,1
N#Cc1c(N)ncnc1N1CC2(CC2)C[C@H]1c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
Cc1ccc(-c2n[nH]c3ncnc(N)c23)cc1O,0,0,1,1
Cc1c(CN2CCN(C(=O)c3cc4cccc(C(N)=O)c4o3)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,1,1,1,1
NCC(=O)N1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1,0,1,1,0
Nc1nc2ccc(-c3ccc(=O)[nH]c3)cc2s1,0,0,0,0
CSc1nn2c(=O)cc(N3CCOC(C)C3)nc2n1Cc1cccc(C(F)(F)F)c1C,0,1,1,1
Cc1ccc(F)c2nc([C@H](C)Nc3ncnc(N)c3C#Cc3ccc(F)cn3)n(-c3ccccc3)c(=O)c12,1,1,1,1
COc1ccccc1-n1c(SCC(=O)Nc2ccc3nccnc3c2)nc2c(c1=O)CCCC2,0,0,1,0
CC(=O)Nc1nc2c(C)cc(-c3cncc(S(C)(=O)=O)c3)cn2n1,0,0,0,1
O=c1cc(N2CCOCC2)nc(Cc2nc3cccc(-c4ccccc4)c3o2)[nH]1,0,1,0,0
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,0,0,0,0
O=C(O)C1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1,1,1,1,1
c1cc(-c2nnc(CN3CCOCC3)o2)c2cn[nH]c2c1,0,0,0,0
CC(=O)Nc1nc(C)c(-c2cc3c(c(S(C)(=O)=O)c2)C(=O)N([C@@H](C)C2CC2)C3)s1,0,0,1,1
O=c1oc2ccccc2c2nn(CN3CCN(S(=O)(=O)c4ccc(Cl)c([N+](=O)[O-])c4)CC3)cc12,1,1,1,1
C[C@H](Nc1ncnc(N)c1C#Cc1ccc(F)cn1)c1nc2cccc(F)c2c(=O)n1-c1cc(F)cc(F)c1,1,1,1,1
Cc1nc(NC(=O)N2C[C@@H](O)C[C@H]2C(N)=O)sc1-c1csc(C(C)(C)C)n1,1,0,0,0
COc1cccc(-n2c([C@H](C)Nc3ncnc(N)c3C#Cc3ncccc3F)nc3cccc(Cl)c3c2=O)c1C,1,1,1,1
CC(C)(C)NS(=O)(=O)c1cncc(-c2cc(F)n3nc(N)nc3c2)c1,0,0,0,1
Cc1nc(NC(=O)C(N)C2CC2)sc1-c1cnc(Cl)c(NS(=O)(=O)c2ccccc2)c1,1,1,1,0
Cc1c(CN2CCN(C(=O)CO)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,1,1,1,1
N[C@H](Cc1ccccc1)C(=O)N1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1,0,0,0,0
O=c1cc(N2CCOCC2)nc(Cc2nc3ccccc3n2-c2ccccc2)[nH]1,0,1,1,0
Nc1nc2nc(-c3ccncc3)ccn2n1,0,0,0,0
COCCOc1cnc(Nc2cnc(Cl)c(NS(C)(=O)=O)c2)c(-c2nc(C)nc(N)n2)c1,1,1,1,1
CCC(=O)N1CC[C@H](Oc2ccnc3ccc(-c4ccc(OC)nc4)cc23)C1,1,1,1,1
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN3CCN(C(C)(C)C)CC3)cc2F)c1,0,0,0,0
COc1ncc(-c2cc(-c3ccnc(N4C[C@@H](C)O[C@@H](C)C4)c3)cc3c2CNC3=O)cc1NS(C)(=O)=O,1,1,1,1
CC(=O)Nc1nc(C)c(-c2csc(C(C)C)n2)s1,1,0,1,0
CC(O)C#Cc1c(N)ncnc1N[C@H](C)c1nc2cccc(Cl)c2c(=O)n1-c1cc(F)cc(F)c1,1,1,1,1
Cc1nc(N)c(F)c(-c2cccnc2Nc2cccc3[nH]ncc23)n1,1,1,1,1
NC(=O)[C@H](Cc1ccccc1)NC(=O)C1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1,1,1,1,1
CC(Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(O)c1-c1ccccc1,0,0,1,1
COc1ccc(Nc2ncc(N3CCN(C)CC3)cc2-c2nc(C)nc(N)n2)cn1,1,1,1,1
Cc1nn2c(NC(N)=O)cc(N3CCOCC3)nc2c1Cc1cccc(C(F)(F)F)c1C,0,0,1,0
C[C@@H](Nc1nc2ccc(-c3ccn(CC4CC4)c(=O)c3)cc2s1)C1CCOCC1,0,0,0,0
CCCCc1cc(-c2c[nH]c3ncccc23)nc(N)n1,0,0,0,0
CC(=O)c1cccc(C#Cc2c(N)ncnc2N[C@@H](C)c2nc3cccc(Cl)c3c(=O)n2-c2ccccc2)c1,1,1,1,1
O=c1[nH]cnc2cc(N3CCOCC3)ccc12,0,0,0,0
Oc1cccc(-c2cc(Nc3ccc4[nH]ncc4c3)nc(N3CCOCC3)n2)c1,1,1,1,1
C[C@H](Nc1ncnc(N)c1C#CC1CCCC1)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2c(-c3ccccn3)cccc21,0,1,1,0
COc1ccc(Nc2ncc(CN3CCN(C(=O)N(C)C)CC3)cc2-c2nc(C)nc(N)n2)cn1,1,1,1,1
CC(C)(C)c1nc2c(s1)CCc1nc(NC(=O)N3CCC[C@H]3C(N)=O)sc1-2,1,0,1,1
Cc1noc(C)c1CCNC(=O)Nc1nc2ccc(-c3cncc(S(=O)(=O)NC(C)(C)C)c3)cn2n1,0,1,1,1
C[C@@H]1CN(C(=O)c2cc(C3CCCN3c3cc(F)cc(F)c3)c3nc(N4CCOCC4)cnc3c2)C[C@H](C)N1,1,1,1,1
Cc1c(CN2CCN(C(=O)C(C)(C)N)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,1,1,1,1
CN1CCN(Cc2cccc3c2CCN3C(=O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)CC1,1,1,1,0
CC(C)n1nc(-c2ccc3c(ccn3C)c2)c2c(N)ncnc21,1,1,1,1
COc1ccc(Nc2ncc(Cl)cc2-c2nc(C)nc(N)n2)cn1,1,1,1,1
C[C@H](Nc1ncnc(N)c1C#Cc1cnccn1)c1nc2cccc(C#N)c2c(=O)n1-c1ccccc1,1,1,1,1
FC(F)(F)c1nnc2n1[C@H]1CCN(Cc3cc4nc(-c5cccc6[nH]ccc56)nc(N5CCOCC5)c4s3)C[C@@H]1CC2,1,1,1,1
O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)o2)S1,1,0,0,1
Cc1noc([C@H]2C3CCC(CC3)[C@@H]2Nc2nc(-c3c[nH]c4ncc(F)cc34)ncc2F)n1,0,0,0,0
CS(=O)(=O)NC1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1,1,1,1,1
CC(C)n1nc(-c2ccc3ccncc3c2)c2c(N)ncnc21,1,0,1,1
O=C(NOCCOCCOCCOCCNc1nc(N2CCOCC2)nc(-n2c(C(F)F)nc3ccccc32)n1)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,1,0,1,0
Cc1c(Cn2ccn3c(=O)cc(N4CCO[C@H](C)C4)nc23)cccc1C(F)(F)F,1,1,1,1
C=CC(=O)Nc1ccc(NS(=O)(=O)c2cccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)c2)cc1,1,0,1,1
COc1ccc(-c2n[nH]c3ncnc(N)c23)cc1O,1,0,1,1
Cc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2ccc3nsnc3c2)cc1,1,1,1,1
CS(=O)(=O)O.Cc1c(Cc2c(CO)nc3c(N)cc(N4CCOCC4)nn23)cccc1C(F)(F)F,0,1,1,0
Cc1ccccc1NC(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,0,1,0,0
Oc1cc(C2CCOCC2)nc2c(Cc3cccc(Cl)c3Cl)c(C(F)(F)F)nn12,0,1,1,0
CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,0,0,0,0
CNC(=O)c1nc(-c2ccc(Cl)c(NS(=O)(=O)c3cccc(Cl)c3)c2)cnc1N,1,1,1,1
CC(C)n1nc(-c2ccc3c(N)n[nH]c3c2)c2c(N)ncnc21,1,1,1,1
CCNS(=O)(=O)c1cccc(-n2c([C@H](C)Nc3ncnc(N)c3C#Cc3ccccn3)nc3cccc(Cl)c3c2=O)c1,1,1,1,1
Nc1ccc(-c2nc(N3CCOCC3)c3ncn(CCCCCCC(=O)NO)c3n2)cn1,1,0,1,1
N#Cc1c(N)ncnc1N1[C@H](c2nc3cccc(Cl)c3c(=O)n2-c2ccccc2)C[C@@H]2CCCC[C@@H]21,1,1,1,1
O=c1cc(N2CCOCC2)oc2c(Cc3ccccc3)csc12,1,1,0,0
COCC(=O)NC1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1,1,1,1,1
Cc1nn2c(O)cc(N3CCOCC3=O)nc2c1Cc1cccc(C(F)(F)F)c1C,1,1,1,0
O=c1oc2ccccc2c2nn(CN3CCN(S(=O)(=O)c4ccc([N+](=O)[O-])cc4)CC3)cc12,0,0,0,0
COc1cccc(-c2csc3c(=O)cc(N4CCOCC4)oc23)c1,1,1,0,0
C[C@H](Nc1ncnc(N)c1C#Cc1cnc(N)nc1)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,1,1,1
Cc1cn2c(=O)cc(N3CCOCC3)nc2n1Cc1cccc(Cl)c1Cl,1,1,1,0
Cc1c(Cn2ccn3c(=O)cc(N4CCOC(C)C4)nc23)cccc1C(F)(F)F,1,1,1,0
CS(=O)(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,1,0,1,1
CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,0,1,1,1
CS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,0,0,0,1
C[C@@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)NCCN(C)C)cc2ncc(N3CCOCC3)nc12,1,1,1,1
CCCn1cc(-c2ccc3nc(N)sc3c2)cn1,0,0,0,0
